,,,,,,,,,,,,,,,,,,
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 2T - Natural,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 2T - Natural Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Natural_2T_EMB3400PIN_CC,198749825821,30.99,30.99,10,,1000,9,1,13,,Solid,Natural,Natural,uni-sex,2T
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 4T - Natural,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 4T - Natural Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Natural_4T_EMB3400PIN_CC,198749825838,30.99,30.99,30,,1000,9,1,13,,Solid,Natural,Natural,uni-sex,4T
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 5/6 - Natural,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 5/6 - Natural Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Natural_5/6_EMB3400PIN_CC,198749825845,30.99,30.99,40,,1000,9,1,13,,Solid,Natural,Natural,uni-sex,5/6
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 2T - Seafoam,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 2T - Seafoam Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Seafoam_2T_EMB3400PIN_CC,198749825791,30.99,30.99,10,,1000,9,1,13,,Solid,Seafoam,Seafoam,uni-sex,2T
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 4T - Seafoam,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 4T - Seafoam Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Seafoam_4T_EMB3400PIN_CC,198749825807,30.99,30.99,30,,1000,9,1,13,,Solid,Seafoam,Seafoam,uni-sex,4T
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 5/6 - Seafoam,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 5/6 - Seafoam Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Seafoam_5/6_EMB3400PIN_CC,198749825814,30.99,30.99,40,,1000,9,1,13,,Solid,Seafoam,Seafoam,uni-sex,5/6
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 2T - Navy,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 2T - Navy Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Navy_2T_EMB3400PIN_CC,198749825852,30.99,30.99,10,,1000,9,1,13,,Solid,Navy,Navy,uni-sex,2T
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 4T - Navy,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 4T - Navy Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Navy_4T_EMB3400PIN_CC,198749825869,30.99,30.99,30,,1000,9,1,13,,Solid,Navy,Navy,uni-sex,4T
,The Juniper Shop Embroidered Hippity Hoppity Stacked Toddler Hoodie - 5/6 - Navy,"Bring a touch of whimsy and charm to your wardrobe with our 'Embroidered Hippity Hoppity Stacked' design. Perfect for Easter festivities or simply adding a pop of color to your outfit, this design is sure to turn heads and spread smiles wherever you go. The intricate embroidery details give it a unique feel, making it a standout piece in your collection. Embrace the spirit of spring with this cute and vibrant design! - 5/6 - Navy Keep your little one warm and stylish with our high-quality toddler graphic hoodie. Made from soft and durable material, this cozy hoodie features fun designs that are both trendy and comfortable. Perfect for everyday wear or playtime adventures.",TH_Navy_5/6_EMB3400PIN_CC,198749825876,30.99,30.99,40,,1000,9,1,13,,Solid,Navy,Navy,uni-sex,5/6
e from soft fleece, this comfortable and long-lasting sweatshirt features fun graphic designs that are on-trend and perfect for any playful toddler.",TSWT_Natural_2T_EMB3400LB_CC,198749826071,28.99,28.99,10,,1000,9,1,13,,Solid,Natural,Natural,uni-sex,2T
